atl_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
atl_284	1999-03-10	00:00	42.5	345	30	60	315	435
atl_285	1999-03-12	06:00	40	302.5	30	60	272.5	392.5
atl_286	1999-03-30	18:00	45	340	30	60	310	430
atl_287	1999-11-04	00:00	42.5	340	30	60	310	430
atl_288	1999-12-12	18:00	40	317.5	30	60	287.5	407.5
atl_289	1999-12-27	18:00	42.5	325	30	60	295	415
atl_290	2000-01-08	06:00	45	302.5	30	60	272.5	392.5
atl_291	2000-01-11	00:00	42.5	287.5	30	60	257.5	377.5
atl_292	2000-01-13	18:00	40	287.5	30	60	257.5	377.5
atl_293	2000-01-14	06:00	42.5	302.5	30	60	272.5	392.5
atl_294	2000-01-31	18:00	42.5	292.5	30	60	262.5	382.5
atl_295	2000-02-06	06:00	45	315	30	60	285	405
atl_296	2000-02-19	18:00	42.5	300	30	60	270	390
atl_297	2000-03-12	18:00	42.5	290	30	60	260	380
atl_298	2000-11-28	00:00	45	302.5	30	60	272.5	392.5
atl_299	2000-11-28	18:00	45	320	30	60	290	410
atl_300	2000-11-30	18:00	40	292.5	30	60	262.5	382.5
atl_301	2000-12-06	18:00	40	345	30	60	315	435
atl_302	2000-12-08	06:00	45	307.5	30	60	277.5	397.5
atl_303	2000-12-12	06:00	45	340	30	60	310	430
atl_304	2000-12-15	00:00	45	295	30	60	265	385
atl_305	2000-12-17	18:00	40	285	30	60	255	375
atl_306	2000-12-20	06:00	40	290	30	60	260	380
atl_307	2000-12-23	06:00	45	300	30	60	270	390
atl_308	2000-12-28	06:00	45	342.5	30	60	312.5	432.5
atl_309	2000-12-30	18:00	40	287.5	30	60	257.5	377.5
atl_310	2001-01-06	18:00	40	295	30	60	265	385
atl_311	2001-01-11	06:00	45	310	30	60	280	400
atl_312	2001-01-12	06:00	42.5	302.5	30	60	272.5	392.5
atl_313	2001-01-16	18:00	42.5	302.5	30	60	272.5	392.5
atl_314	2001-02-03	06:00	42.5	302.5	30	60	272.5	392.5
atl_315	2001-02-06	00:00	40	290	30	60	260	380
atl_316	2001-02-17	18:00	42.5	300	30	60	270	390
atl_317	2001-02-28	00:00	42.5	312.5	30	60	282.5	402.5
atl_318	2001-03-01	06:00	42.5	320	30	60	290	410
atl_319	2001-03-10	06:00	42.5	292.5	30	60	262.5	382.5
atl_320	2001-03-14	06:00	45	297.5	30	60	267.5	387.5
atl_321	2001-11-07	06:00	45	300	30	60	270	390
atl_322	2001-12-07	06:00	40	330	30	60	300	420
atl_323	2001-12-09	18:00	40	297.5	30	60	267.5	387.5
atl_324	2001-12-15	06:00	42.5	287.5	30	60	257.5	377.5
atl_325	2001-12-21	06:00	42.5	302.5	30	60	272.5	392.5
atl_326	2001-12-25	06:00	40	312.5	30	60	282.5	402.5
atl_327	2001-12-27	06:00	40	295	30	60	265	385
atl_328	2001-12-30	06:00	42.5	340	30	60	310	430
atl_329	2001-12-31	00:00	45	312.5	30	60	282.5	402.5
atl_330	2002-01-02	18:00	45	322.5	30	60	292.5	412.5
atl_331	2002-01-12	06:00	42.5	300	30	60	270	390
atl_332	2002-01-16	06:00	42.5	300	30	60	270	390
atl_333	2002-01-18	18:00	45	315	30	60	285	405
atl_334	2002-01-22	06:00	42.5	297.5	30	60	267.5	387.5
atl_335	2002-02-02	06:00	45	297.5	30	60	267.5	387.5
atl_336	2002-02-04	18:00	40	300	30	60	270	390
atl_337	2002-02-08	06:00	40	297.5	30	60	267.5	387.5
atl_338	2002-02-11	06:00	42.5	287.5	30	60	257.5	377.5
atl_339	2002-02-19	00:00	42.5	302.5	30	60	272.5	392.5
atl_340	2002-03-11	18:00	42.5	342.5	30	60	312.5	432.5
atl_341	2002-11-06	18:00	40	290	30	60	260	380
atl_342	2002-11-13	06:00	42.5	345	30	60	315	435
atl_343	2002-11-14	18:00	42.5	300	30	60	270	390
atl_344	2002-11-18	06:00	42.5	292.5	30	60	262.5	382.5
atl_345	2002-11-23	06:00	42.5	287.5	30	60	257.5	377.5
atl_346	2002-11-27	18:00	40	292.5	30	60	262.5	382.5
atl_347	2002-12-03	18:00	45	300	30	60	270	390
atl_348	2002-12-12	06:00	40	290	30	60	260	380
atl_349	2002-12-17	00:00	40	295	30	60	265	385
atl_350	2002-12-21	06:00	42.5	325	30	60	295	415
atl_351	2002-12-25	18:00	40	287.5	30	60	257.5	377.5
atl_352	2003-01-02	06:00	40	290	30	60	260	380
