wnp_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
wnp_272	1995-11-26	00:00	45	162.5	30	60	132.5	252.5
wnp_273	1995-11-30	18:00	40	185	30	60	155	275
wnp_274	1995-12-15	18:00	40	155	30	60	125	245
wnp_275	1995-12-24	06:00	40	140	30	60	110	230
wnp_276	1995-12-26	00:00	42.5	175	30	60	145	265
wnp_277	1995-12-29	00:00	42.5	137.5	30	60	107.5	227.5
wnp_278	1995-12-31	06:00	45	170	30	60	140	260
wnp_279	1996-01-01	00:00	45	145	30	60	115	235
wnp_280	1996-01-02	00:00	45	162.5	30	60	132.5	252.5
wnp_281	1996-01-03	00:00	40	135	30	60	105	225
wnp_282	1996-01-08	00:00	40	140	30	60	110	230
wnp_283	1996-01-08	18:00	40	182.5	30	60	152.5	272.5
wnp_284	1996-01-16	00:00	40	150	30	60	120	240
wnp_285	1996-01-19	18:00	42.5	175	30	60	145	265
wnp_286	1996-01-23	18:00	40	157.5	30	60	127.5	247.5
wnp_287	1996-01-29	18:00	40	160	30	60	130	250
wnp_288	1996-01-31	00:00	40	172.5	30	60	142.5	262.5
wnp_289	1996-02-05	06:00	40	135	30	60	105	225
wnp_290	1996-02-09	18:00	42.5	155	30	60	125	245
wnp_291	1996-02-18	18:00	42.5	155	30	60	125	245
wnp_292	1996-02-28	00:00	40	155	30	60	125	245
wnp_293	1996-03-18	00:00	45	142.5	30	60	112.5	232.5
wnp_294	1996-03-30	18:00	42.5	142.5	30	60	112.5	232.5
wnp_295	1996-11-01	18:00	40	150	30	60	120	240
wnp_296	1996-11-10	00:00	45	157.5	30	60	127.5	247.5
wnp_297	1996-11-27	06:00	42.5	137.5	30	60	107.5	227.5
wnp_298	1996-12-17	18:00	42.5	142.5	30	60	112.5	232.5
wnp_299	1996-12-20	06:00	42.5	160	30	60	130	250
wnp_300	1996-12-22	18:00	40	142.5	30	60	112.5	232.5
wnp_301	1996-12-28	06:00	42.5	145	30	60	115	235
wnp_302	1997-01-04	00:00	45	155	30	60	125	245
wnp_303	1997-01-05	00:00	42.5	185	30	60	155	275
wnp_304	1997-01-07	00:00	45	192.5	30	60	162.5	282.5
wnp_305	1997-01-09	18:00	40	165	30	60	135	255
wnp_306	1997-01-10	18:00	45	192.5	30	60	162.5	282.5
wnp_307	1997-01-14	06:00	45	142.5	30	60	112.5	232.5
wnp_308	1997-01-20	00:00	42.5	175	30	60	145	265
wnp_309	1997-02-16	18:00	45	145	30	60	115	235
wnp_310	1997-02-21	00:00	42.5	140	30	60	110	230
wnp_311	1997-02-22	18:00	45	170	30	60	140	260
wnp_312	1997-02-28	18:00	45	142.5	30	60	112.5	232.5
wnp_313	1997-03-11	00:00	40	145	30	60	115	235
wnp_314	1997-03-11	18:00	40	187.5	30	60	157.5	277.5
wnp_315	1997-03-19	06:00	45	180	30	60	150	270
wnp_316	1997-03-20	00:00	45	195	30	60	165	285
wnp_317	1997-03-30	06:00	42.5	185	30	60	155	275
wnp_318	1997-11-02	18:00	42.5	185	30	60	155	275
wnp_319	1997-11-16	00:00	40	160	30	60	130	250
wnp_320	1997-12-20	00:00	45	145	30	60	115	235
wnp_321	1997-12-26	06:00	40	187.5	30	60	157.5	277.5
wnp_322	1998-01-04	00:00	45	180	30	60	150	270
wnp_323	1998-01-04	06:00	40	142.5	30	60	112.5	232.5
wnp_324	1998-01-07	00:00	40	167.5	30	60	137.5	257.5
wnp_325	1998-01-08	18:00	45	185	30	60	155	275
wnp_326	1998-01-18	06:00	45	140	30	60	110	230
wnp_327	1998-01-30	00:00	40	185	30	60	155	275
wnp_328	1998-02-02	00:00	45	180	30	60	150	270
wnp_329	1998-02-10	18:00	42.5	187.5	30	60	157.5	277.5
wnp_330	1998-02-14	18:00	40	157.5	30	60	127.5	247.5
wnp_331	1998-02-25	18:00	45	182.5	30	60	152.5	272.5
wnp_332	1998-03-08	00:00	40	155	30	60	125	245
wnp_333	1998-03-23	00:00	40	165	30	60	135	255
wnp_334	1998-03-26	06:00	40	167.5	30	60	137.5	257.5
wnp_335	1998-03-28	06:00	40	155	30	60	125	245
wnp_336	1998-11-17	06:00	40	142.5	30	60	112.5	232.5
wnp_337	1998-11-24	06:00	45	155	30	60	125	245
wnp_338	1998-11-28	06:00	42.5	155	30	60	125	245
wnp_339	1998-12-04	18:00	40	170	30	60	140	260
wnp_340	1998-12-07	18:00	45	140	30	60	110	230
wnp_341	1998-12-09	06:00	45	175	30	60	145	265
wnp_342	1998-12-15	18:00	40	172.5	30	60	142.5	262.5
wnp_343	1998-12-21	00:00	42.5	170	30	60	140	260
wnp_344	1998-12-26	06:00	45	147.5	30	60	117.5	237.5
wnp_345	1998-12-29	06:00	42.5	175	30	60	145	265
wnp_346	1999-01-04	06:00	40	175	30	60	145	265
wnp_347	1999-01-07	18:00	45	157.5	30	60	127.5	247.5
wnp_348	1999-01-12	00:00	40	175	30	60	145	265
wnp_349	1999-01-20	00:00	42.5	147.5	30	60	117.5	237.5
wnp_350	1999-02-04	18:00	45	167.5	30	60	137.5	257.5
wnp_351	1999-02-09	06:00	40	190	30	60	160	280
